Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
Acer,Intel Core i5 13th Gen 1335U,Intel Iris Xe Graphics,8 GB,14 Inches,1920x1080,512 GB,Windows 11 Home,,
ASUS,Intel Core i9 13900H,NVIDIA RTX 4060,16 GB,16 Inches,3200x2000,512 GB,Windows 11 Home,,
Microsoft,Intel Core i5 11th Gen 1135G7,Intel Iris Xe Graphics,8 GB,12.3 Inches,2736x1824,256 GB,Windows 10 Pro,,
MSI,Intel Core i7 13th Gen 13620H,Intel Iris Xe Graphics,32 GB,15.6 Inches,1920x1080,1 TB,Windows 11 Home,,
MSI,Intel Core i7 12th Gen 1280P,Intel Iris Xe Graphics,32 GB,14 Inches,1920x1080,1 TB,Windows 11 Home,,
Lenovo,AMD Ryzen 7 7730U,AMD Radeon Graphics,16 GB,16 Inches,1920x1200,512 GB,Windows 11 Home,,
Microsoft,Intel Core i7 11th Gen,,16 GB,14.4 Inches,,512 GB,,,
Lenovo,Intel Core i5 11th Gen 1140G7,,16 GB,13 Inches,2160x1350,256 GB,,,
ASUS,Intel Core i9-13900H,NVIDIA RTX 4060,16 GB,16 Inches,1920x1200,512 GB,,,
HP,Intel Core i5 1235U,Intel Iris Xe Graphics,16 GB,14 Inches,1920x1080,256 GB,Windows 10 Pro,,
ASUS,AMD Ryzen 5 5600H,AMD Radeon Graphics,16 GB,15.6 Inches,1920x1080,512 GB ,Windows 11 Home,,
HP,Intel Core i3-1115G4,Intel UHD Graphics,16 GB,15.6 Inches,1366x768,512 GB,Windows 11 Home,,
LG,Intel Core i5 1340P,,8 GB,14 Inches,,512 GB,Windows 11 Pro,,
ASUS,Intel Core i5 12500H,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920x1080,512 GB,Windows 11 Home,,
LG,Intel Core i7 12th Gen 1260P,Intel Iris Xe Graphics,16 GB,16 Inches,2560x1600,1 TB,Windows 11 Pro,,
ASUS,Intel Core i5 13th Gen 13500H,NVIDIA RTX 2050,8 GB,14 Inches,1920x1080,512 GB,Windows 11 Home,,
ASUS,Intel Core i5 13500H,Intel UHD Graphics,8 GB,16 Inches,1920x1200,512 GB,Windows 11 Home,,
ASUS,Intel Core i7 13700H,NVIDIA RTX 4050,16 GB,16 Inches,1920x1080,1 TB,Windows 11 Home,,
